task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
data-science-08-07,Experimentation & A/B Testing: Best Practices,"Practice Experimentation & A/B Testing within Data Science: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Data Science,Intermediate,"data-science,experimentation,&,a-b",Read a short overview of Experimentation & A/B Testing in Data Science|Implement a minimal example for Experimentation & A/B Testing (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Experimentation & A/B Testing' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-08-08,Experimentation & A/B Testing: Performance,"Practice Experimentation & A/B Testing within Data Science: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Data Science,Advanced,"data-science,experimentation,&,a-b",Read a short overview of Experimentation & A/B Testing in Data Science|Implement a minimal example for Experimentation & A/B Testing (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Experimentation & A/B Testing' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-08-09,Experimentation & A/B Testing: Real-World,"Practice Experimentation & A/B Testing within Data Science: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Data Science,Advanced,"data-science,experimentation,&,a-b",Read a short overview of Experimentation & A/B Testing in Data Science|Implement a minimal example for Experimentation & A/B Testing (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Experimentation & A/B Testing' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-08-10,Experimentation & A/B Testing: Capstone,"Practice Experimentation & A/B Testing within Data Science: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Data Science,Advanced,"data-science,experimentation,&,a-b",Read a short overview of Experimentation & A/B Testing in Data Science|Implement a minimal example for Experimentation & A/B Testing (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Experimentation & A/B Testing' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-01,Big Data Basics (Spark): Intro,"Practice Big Data Basics (Spark) within Data Science: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-02,Big Data Basics (Spark): Basics,"Practice Big Data Basics (Spark) within Data Science: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Data Science,Beginner,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-03,Big Data Basics (Spark): Hands-on,"Practice Big Data Basics (Spark) within Data Science: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Data Science,Beginner,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-04,Big Data Basics (Spark): Apply,"Practice Big Data Basics (Spark) within Data Science: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Data Science,Intermediate,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-05,Big Data Basics (Spark): Deep Dive,"Practice Big Data Basics (Spark) within Data Science: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Data Science,Intermediate,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-06,Big Data Basics (Spark): From Scratch,"Practice Big Data Basics (Spark) within Data Science: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Data Science,Intermediate,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-07,Big Data Basics (Spark): Best Practices,"Practice Big Data Basics (Spark) within Data Science: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Data Science,Intermediate,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-08,Big Data Basics (Spark): Performance,"Practice Big Data Basics (Spark) within Data Science: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Data Science,Advanced,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-09,Big Data Basics (Spark): Real-World,"Practice Big Data Basics (Spark) within Data Science: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Data Science,Advanced,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-09-10,Big Data Basics (Spark): Capstone,"Practice Big Data Basics (Spark) within Data Science: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Data Science,Advanced,"data-science,big,data,basics",Read a short overview of Big Data Basics (Spark) in Data Science|Implement a minimal example for Big Data Basics (Spark) (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Big Data Basics (Spark)' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-01,Storytelling & Dashboards: Intro,"Practice Storytelling & Dashboards within Data Science: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-02,Storytelling & Dashboards: Basics,"Practice Storytelling & Dashboards within Data Science: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Data Science,Beginner,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-03,Storytelling & Dashboards: Hands-on,"Practice Storytelling & Dashboards within Data Science: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Data Science,Beginner,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-04,Storytelling & Dashboards: Apply,"Practice Storytelling & Dashboards within Data Science: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Data Science,Intermediate,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-05,Storytelling & Dashboards: Deep Dive,"Practice Storytelling & Dashboards within Data Science: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Data Science,Intermediate,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-06,Storytelling & Dashboards: From Scratch,"Practice Storytelling & Dashboards within Data Science: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Data Science,Intermediate,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-07,Storytelling & Dashboards: Best Practices,"Practice Storytelling & Dashboards within Data Science: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Data Science,Intermediate,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-08,Storytelling & Dashboards: Performance,"Practice Storytelling & Dashboards within Data Science: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Data Science,Advanced,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-09,Storytelling & Dashboards: Real-World,"Practice Storytelling & Dashboards within Data Science: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Data Science,Advanced,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
data-science-10-10,Storytelling & Dashboards: Capstone,"Practice Storytelling & Dashboards within Data Science: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Data Science,Advanced,"data-science,storytelling,&,dashboards",Read a short overview of Storytelling & Dashboards in Data Science|Implement a minimal example for Storytelling & Dashboards (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Storytelling & Dashboards' in Data Science|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=r-uOLxNrNk8,https://pandas.pydata.org/docs/
python-01-01,Syntax & Variables: Intro,"Practice Syntax & Variables within Python: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Python,Beginner,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-02,Syntax & Variables: Basics,"Practice Syntax & Variables within Python: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Python,Beginner,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-03,Syntax & Variables: Hands-on,"Practice Syntax & Variables within Python: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Python,Beginner,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-04,Syntax & Variables: Apply,"Practice Syntax & Variables within Python: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Python,Intermediate,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-05,Syntax & Variables: Deep Dive,"Practice Syntax & Variables within Python: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Python,Intermediate,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-06,Syntax & Variables: From Scratch,"Practice Syntax & Variables within Python: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Python,Intermediate,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-07,Syntax & Variables: Best Practices,"Practice Syntax & Variables within Python: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Python,Intermediate,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-08,Syntax & Variables: Performance,"Practice Syntax & Variables within Python: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Python,Advanced,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-09,Syntax & Variables: Real-World,"Practice Syntax & Variables within Python: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Python,Advanced,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-01-10,Syntax & Variables: Capstone,"Practice Syntax & Variables within Python: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Python,Advanced,"python,syntax,&,variables",Read a short overview of Syntax & Variables in Python|Implement a minimal example for Syntax & Variables (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Syntax & Variables' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-01,Control Flow: Intro,"Practice Control Flow within Python: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Python,Beginner,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-02,Control Flow: Basics,"Practice Control Flow within Python: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Python,Beginner,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-03,Control Flow: Hands-on,"Practice Control Flow within Python: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Python,Beginner,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-04,Control Flow: Apply,"Practice Control Flow within Python: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Python,Intermediate,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-05,Control Flow: Deep Dive,"Practice Control Flow within Python: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Python,Intermediate,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-06,Control Flow: From Scratch,"Practice Control Flow within Python: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Python,Intermediate,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-07,Control Flow: Best Practices,"Practice Control Flow within Python: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Python,Intermediate,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-08,Control Flow: Performance,"Practice Control Flow within Python: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Python,Advanced,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-09,Control Flow: Real-World,"Practice Control Flow within Python: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Python,Advanced,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-02-10,Control Flow: Capstone,"Practice Control Flow within Python: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Python,Advanced,"python,control,flow",Read a short overview of Control Flow in Python|Implement a minimal example for Control Flow (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Control Flow' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-01,Data Structures: Intro,"Practice Data Structures within Python: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Python,Beginner,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-02,Data Structures: Basics,"Practice Data Structures within Python: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Python,Beginner,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-03,Data Structures: Hands-on,"Practice Data Structures within Python: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Python,Beginner,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-04,Data Structures: Apply,"Practice Data Structures within Python: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Python,Intermediate,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-05,Data Structures: Deep Dive,"Practice Data Structures within Python: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Python,Intermediate,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-06,Data Structures: From Scratch,"Practice Data Structures within Python: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Python,Intermediate,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-07,Data Structures: Best Practices,"Practice Data Structures within Python: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Python,Intermediate,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
python-03-08,Data Structures: Performance,"Practice Data Structures within Python: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Python,Advanced,"python,data,structures",Read a short overview of Data Structures in Python|Implement a minimal example for Data Structures (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'Data Structures' in Python|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=_uQrJ0TkZlc,https://docs.python.org/3/
