task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
python-collections-hard,Collections: Hard Practical Task 4,"A hard-level, course-ready exercise focused on Collections in Python. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Python,Advanced,"python,collections,hard","{""step_1"": ""Review the theoretical foundations of Collections within Python."", ""step_2"": ""Implement a concise example demonstrating Collections."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Collections in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=96ca499e4eb,https://docs.python.org/3/#c756c492
javascript-basics-types,Basics & Types: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Basics & Types in JavaScript. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,JavaScript,Beginner,"javascript,basics,easy","{""step_1"": ""Review the theoretical foundations of Basics & Types within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Basics & Types."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Basics & Types in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=bc24cafd0ca,https://developer.mozilla.org/en-US/docs/Web/JavaScript#d8eebe16
javascript-control-flow,Control Flow: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Control Flow in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,JavaScript,Beginner,"javascript,control,easy","{""step_1"": ""Review the theoretical foundations of Control Flow within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Control Flow."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Control Flow in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=af1d8a5e6d6,https://developer.mozilla.org/en-US/docs/Web/JavaScript#4512a6c9
javascript-functions-scope,Functions & Scope: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Functions & Scope in JavaScript. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,JavaScript,Beginner,"javascript,functions,easy","{""step_1"": ""Review the theoretical foundations of Functions & Scope within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Functions & Scope."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Functions & Scope in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=48357e620db,https://developer.mozilla.org/en-US/docs/Web/JavaScript#85043f52
javascript-arrays-objects,Arrays & Objects: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Arrays & Objects in JavaScript. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,JavaScript,Beginner,"javascript,arrays,easy","{""step_1"": ""Review the theoretical foundations of Arrays & Objects within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Arrays & Objects."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Arrays & Objects in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=3124c8e7d98,https://developer.mozilla.org/en-US/docs/Web/JavaScript#892784c8
javascript-es6-features,ES6 Features: Easy Practical Task 5,"A easy-level, course-ready exercise focused on ES6 Features in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,JavaScript,Beginner,"javascript,es6,easy","{""step_1"": ""Review the theoretical foundations of ES6 Features within JavaScript."", ""step_2"": ""Implement a concise example demonstrating ES6 Features."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for ES6 Features in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=2656cc0a814,https://developer.mozilla.org/en-US/docs/Web/JavaScript#32e886ff
javascript-dom-manipulation,DOM Manipulation: Easy Practical Task 6,"A easy-level, course-ready exercise focused on DOM Manipulation in JavaScript. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,JavaScript,Beginner,"javascript,dom,easy","{""step_1"": ""Review the theoretical foundations of DOM Manipulation within JavaScript."", ""step_2"": ""Implement a concise example demonstrating DOM Manipulation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for DOM Manipulation in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0b7fff4e431,https://developer.mozilla.org/en-US/docs/Web/JavaScript#b2b257c3
javascript-events-easy,Events: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Events in JavaScript. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,JavaScript,Beginner,"javascript,events,easy","{""step_1"": ""Review the theoretical foundations of Events within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Events."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Events in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=25cfac93f5d,https://developer.mozilla.org/en-US/docs/Web/JavaScript#ef6ecddd
javascript-fetch-promises,Fetch & Promises: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Fetch & Promises in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,JavaScript,Beginner,"javascript,fetch,easy","{""step_1"": ""Review the theoretical foundations of Fetch & Promises within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Fetch & Promises."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Fetch & Promises in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=d542658a472,https://developer.mozilla.org/en-US/docs/Web/JavaScript#9ffa78b1
javascript-asyncawait-easy,Async/Await: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Async/Await in JavaScript. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,JavaScript,Beginner,"javascript,async/await,easy","{""step_1"": ""Review the theoretical foundations of Async/Await within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Async/Await."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Async/Await in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=2591d25c9e8,https://developer.mozilla.org/en-US/docs/Web/JavaScript#6aeb1d51
javascript-modules-easy,Modules: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Modules in JavaScript. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,JavaScript,Beginner,"javascript,modules,easy","{""step_1"": ""Review the theoretical foundations of Modules within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Modules."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=d3488c0eb58,https://developer.mozilla.org/en-US/docs/Web/JavaScript#99d12930
javascript-events-medium,Events: Medium Practical Task 7,"A medium-level, course-ready exercise focused on Events in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,JavaScript,Intermediate,"javascript,events,medium","{""step_1"": ""Review the theoretical foundations of Events within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Events."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Events in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c48216ef96f,https://developer.mozilla.org/en-US/docs/Web/JavaScript#373311f2
javascript-asyncawait-medium,Async/Await: Medium Practical Task 9,"A medium-level, course-ready exercise focused on Async/Await in JavaScript. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,JavaScript,Intermediate,"javascript,async/await,medium","{""step_1"": ""Review the theoretical foundations of Async/Await within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Async/Await."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Async/Await in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=082255eb7a5,https://developer.mozilla.org/en-US/docs/Web/JavaScript#d94e3d25
javascript-modules-medium,Modules: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Modules in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,JavaScript,Intermediate,"javascript,modules,medium","{""step_1"": ""Review the theoretical foundations of Modules within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Modules."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=6e3c1ed3c77,https://developer.mozilla.org/en-US/docs/Web/JavaScript#a9a11428
javascript-events-hard,Events: Hard Practical Task 7,"A hard-level, course-ready exercise focused on Events in JavaScript. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,JavaScript,Advanced,"javascript,events,hard","{""step_1"": ""Review the theoretical foundations of Events within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Events."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Events in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c7380c2a3df,https://developer.mozilla.org/en-US/docs/Web/JavaScript#7b14bf26
javascript-asyncawait-hard,Async/Await: Hard Practical Task 9,"A hard-level, course-ready exercise focused on Async/Await in JavaScript. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,JavaScript,Advanced,"javascript,async/await,hard","{""step_1"": ""Review the theoretical foundations of Async/Await within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Async/Await."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Async/Await in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=de7a8b4d9a7,https://developer.mozilla.org/en-US/docs/Web/JavaScript#d55ad568
javascript-modules-hard,Modules: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Modules in JavaScript. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,JavaScript,Advanced,"javascript,modules,hard","{""step_1"": ""Review the theoretical foundations of Modules within JavaScript."", ""step_2"": ""Implement a concise example demonstrating Modules."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules in JavaScript."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=9bc21db92c2,https://developer.mozilla.org/en-US/docs/Web/JavaScript#c4ded30a
react-jsx-easy,JSX: Easy Practical Task 1,"A easy-level, course-ready exercise focused on JSX in React. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,React,Beginner,"react,jsx,easy","{""step_1"": ""Review the theoretical foundations of JSX within React."", ""step_2"": ""Implement a concise example demonstrating JSX."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for JSX in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=fe071968556,https://react.dev/learn#c840a0b6
react-components-easy,Components: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Components in React. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,React,Beginner,"react,components,easy","{""step_1"": ""Review the theoretical foundations of Components within React."", ""step_2"": ""Implement a concise example demonstrating Components."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Components in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b98c4aa2b83,https://react.dev/learn#8329d316
react-props-easy,Props: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Props in React. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,React,Beginner,"react,props,easy","{""step_1"": ""Review the theoretical foundations of Props within React."", ""step_2"": ""Implement a concise example demonstrating Props."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Props in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=d3d8c2141f7,https://react.dev/learn#782a736f
react-state-easy,State: Easy Practical Task 4,"A easy-level, course-ready exercise focused on State in React. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,React,Beginner,"react,state,easy","{""step_1"": ""Review the theoretical foundations of State within React."", ""step_2"": ""Implement a concise example demonstrating State."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for State in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=1078ba69fee,https://react.dev/learn#f6855eef
react-hooks-usestateuseeffect,Hooks (useState/useEffect): Easy Practical Task 5,"A easy-level, course-ready exercise focused on Hooks (useState/useEffect) in React. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,React,Beginner,"react,hooks,easy","{""step_1"": ""Review the theoretical foundations of Hooks (useState/useEffect) within React."", ""step_2"": ""Implement a concise example demonstrating Hooks (useState/useEffect)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Hooks (useState/useEffect) in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f524c0490b4,https://react.dev/learn#c78d3a1e
react-forms-easy,Forms: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Forms in React. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,React,Beginner,"react,forms,easy","{""step_1"": ""Review the theoretical foundations of Forms within React."", ""step_2"": ""Implement a concise example demonstrating Forms."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Forms in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=adebcf552c0,https://react.dev/learn#309d6b20
react-lists-keys,Lists & Keys: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Lists & Keys in React. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,React,Beginner,"react,lists,easy","{""step_1"": ""Review the theoretical foundations of Lists & Keys within React."", ""step_2"": ""Implement a concise example demonstrating Lists & Keys."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Lists & Keys in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=cbcf34e3af1,https://react.dev/learn#1b0a8b19
react-routing-easy,Routing: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Routing in React. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,React,Beginner,"react,routing,easy","{""step_1"": ""Review the theoretical foundations of Routing within React."", ""step_2"": ""Implement a concise example demonstrating Routing."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Routing in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=90ce72ec515,https://react.dev/learn#3a193ad7
react-context-api,Context API: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Context API in React. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,React,Beginner,"react,context,easy","{""step_1"": ""Review the theoretical foundations of Context API within React."", ""step_2"": ""Implement a concise example demonstrating Context API."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Context API in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=ab158c28ba7,https://react.dev/learn#c92ea6c8
react-memoization-easy,Memoization: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Memoization in React. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,React,Beginner,"react,memoization,easy","{""step_1"": ""Review the theoretical foundations of Memoization within React."", ""step_2"": ""Implement a concise example demonstrating Memoization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Memoization in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=be40a995021,https://react.dev/learn#bd3cbf53
react-jsx-medium,JSX: Medium Practical Task 1,"A medium-level, course-ready exercise focused on JSX in React. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,React,Intermediate,"react,jsx,medium","{""step_1"": ""Review the theoretical foundations of JSX within React."", ""step_2"": ""Implement a concise example demonstrating JSX."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for JSX in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=efa35f7de5c,https://react.dev/learn#0928e37a
react-components-medium,Components: Medium Practical Task 2,"A medium-level, course-ready exercise focused on Components in React. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,React,Intermediate,"react,components,medium","{""step_1"": ""Review the theoretical foundations of Components within React."", ""step_2"": ""Implement a concise example demonstrating Components."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Components in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=09e5261cf67,https://react.dev/learn#3622001a
react-props-medium,Props: Medium Practical Task 3,"A medium-level, course-ready exercise focused on Props in React. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,React,Intermediate,"react,props,medium","{""step_1"": ""Review the theoretical foundations of Props within React."", ""step_2"": ""Implement a concise example demonstrating Props."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Props in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=bf61aa2dfd0,https://react.dev/learn#80dcaed1
react-state-medium,State: Medium Practical Task 4,"A medium-level, course-ready exercise focused on State in React. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,React,Intermediate,"react,state,medium","{""step_1"": ""Review the theoretical foundations of State within React."", ""step_2"": ""Implement a concise example demonstrating State."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for State in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=201973c55dc,https://react.dev/learn#8dd00328
react-forms-medium,Forms: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Forms in React. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,React,Intermediate,"react,forms,medium","{""step_1"": ""Review the theoretical foundations of Forms within React."", ""step_2"": ""Implement a concise example demonstrating Forms."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Forms in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=4453a92c9b1,https://react.dev/learn#57df8553
react-routing-medium,Routing: Medium Practical Task 8,"A medium-level, course-ready exercise focused on Routing in React. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,React,Intermediate,"react,routing,medium","{""step_1"": ""Review the theoretical foundations of Routing within React."", ""step_2"": ""Implement a concise example demonstrating Routing."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Routing in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=7418510c616,https://react.dev/learn#9590a8c9
react-memoization-medium,Memoization: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Memoization in React. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,React,Intermediate,"react,memoization,medium","{""step_1"": ""Review the theoretical foundations of Memoization within React."", ""step_2"": ""Implement a concise example demonstrating Memoization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Memoization in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0421d490e56,https://react.dev/learn#80be2e91
react-jsx-hard,JSX: Hard Practical Task 1,"A hard-level, course-ready exercise focused on JSX in React. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,React,Advanced,"react,jsx,hard","{""step_1"": ""Review the theoretical foundations of JSX within React."", ""step_2"": ""Implement a concise example demonstrating JSX."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for JSX in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c271795156a,https://react.dev/learn#4783b52b
react-components-hard,Components: Hard Practical Task 2,"A hard-level, course-ready exercise focused on Components in React. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,React,Advanced,"react,components,hard","{""step_1"": ""Review the theoretical foundations of Components within React."", ""step_2"": ""Implement a concise example demonstrating Components."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Components in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=79fac99517e,https://react.dev/learn#120a61c5
react-props-hard,Props: Hard Practical Task 3,"A hard-level, course-ready exercise focused on Props in React. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,React,Advanced,"react,props,hard","{""step_1"": ""Review the theoretical foundations of Props within React."", ""step_2"": ""Implement a concise example demonstrating Props."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Props in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=96b714a63d0,https://react.dev/learn#ed9579e6
react-state-hard,State: Hard Practical Task 4,"A hard-level, course-ready exercise focused on State in React. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,React,Advanced,"react,state,hard","{""step_1"": ""Review the theoretical foundations of State within React."", ""step_2"": ""Implement a concise example demonstrating State."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for State in React."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=57e26c204b8,https://react.dev/learn#cdf59c00
